综合,#genre#
CESHI,https://fmbox.cc/bf.php
CCTV6,http://yubox.xyz/php/1905.php?id=cctv6
1905A,http://yubox.xyz/php/1905.php?id=1905a
1905B,http://yubox.xyz/php/1905.php?id=1905b
电影发哥,https://yubox.xyz/php/huya.php?id=11342387
美亚电影,http://zjrtv.vip/live/?tbs=mydy
龍華電影,https://bsex.serv00.net/Smart.php?id=xingwei_movie
龍祥時代,https://bsex.serv00.net/Smart.php?id=lungxiangtime_twn
龍華偶像,https://bsex.serv00.net/Smart.php?id=lunghuaidol_twn
龍華戲劇,https://bsex.serv00.net/Smart.php?id=lunghuaxiju_twn
龍華洋片,https://bsex.serv00.net/Smart.php?id=lunghuawestern_twn
龍華經典,https://bsex.serv00.net/Smart.php?id=lunghuajingdian_t
美亞電影,https://bsex.serv00.net/Smart.php?id=meiyamovie_twn
纬来体育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来体育,https://cloud.yumixiu768.com/tmp/123.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
经典影视,http://ali.hlspull.yximgs.com/live/asdfg32516.flv
经典电影,http://ali.hlspull.yximgs.com/live/asdfg32522.flv
NOW星影台,http://104.233.187.235/php/channelinfo.php?id=13003
NOW爆谷台,http://104.233.187.235/php/channelinfo.php?id=13002
阿里云平台演示,http://player.alicdn.com/video/aliyunmedia.mp4
TEST,http://61.221.215.25:8800/hls/49/index.m3u8
4K.动物频道,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
AMC 电影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC 电影,http://mywlkj.ddns.net:754/tv/tw3.php?id=7
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
韩流歌团,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239960909980.mp4
韩流歌团A,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240225803033.mp4
韩流歌团B,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240229579224.mp4
韩流歌团C,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239993533054.mp4
韩流歌团D,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239994225085.mp4
韩流歌团E,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239989445779.mp4
韩流歌团F,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240184339138.mp4
GAONCHART,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240191295627.mp4
黑铁的鱼影,https://play.mtle.cn/Vtche/BF/2293181193.m3u8
茶啊二中,https://play.mtle.cn/Vtche/BF/3852069434.m3u8
末路狂花钱,https://play.mtle.cn/Vtche/BF/1871792888.m3u8
双重间谍,https://47.96.255.149/Vtche/LZ/2371361776.m3u8
荒野2024,https://play.mtle.cn/Vtche/BF/1540878757.m3u8
涉过愤怒的海,https://play.mtle.cn/Vtche/BF/2633622928.m3u8
失落的王国,https://play.mtle.cn/Vtche/BF/3306242891.m3u8
英雄无归,https://play.mtle.cn/Vtche/YZ/1311342372.m3u8
英年早婚,https://play.mtle.cn/Vtche/BF/1889465399.m3u8
复仇保姆,https://v.gsuus.com/play/xbozkELa/index.m3u8
犯罪都市4,https://v.gsuus.com/play/PdRAJK0b/index.m3u8
我盛大的希腊婚礼3,https://play.mtle.cn/Vtche/BF/2794263343.m3u8
不要走散好不好,https://play.mtle.cn/Vtche/BF/1634655761.m3u8
