广东联通银河,#genre#
CCTV-1,http://43.138.11.122/cq/yh.php?id=G_CCTV-1-CQ
CCTV-2,http://43.138.11.122/cq/yh.php?id=G_CCTV-2-CQ
CCTV-3,http://43.138.11.122/cq/yh.php?id=G_CCTV-3-CQ
CCTV-4,http://43.138.11.122/cq/yh.php?id=G_CCTV-4-CQ
CCTV-5,http://43.138.11.122/cq/yh.php?id=G_CCTV-5-CQ
CCTV-5P,http://43.138.11.122/cq/yh.php?id=G_CCTV-5PLUS-CQ
CCTV-6,http://43.138.11.122/cq/yh.php?id=G_CCTV-6-CQ
CCTV-7,http://43.138.11.122/cq/yh.php?id=G_CCTV-7-CQ
CCTV-8,http://43.138.11.122/cq/yh.php?id=G_CCTV-8-CQ
CCTV-9,http://43.138.11.122/cq/yh.php?id=G_CCTV-9-CQ
CCTV-10,http://43.138.11.122/cq/yh.php?id=G_CCTV-10-CQ
CCTV-11,http://43.138.11.122/cq/yh.php?id=G_CCTV-11-CQ
CCTV-12,http://43.138.11.122/cq/yh.php?id=G_CCTV-12-CQ
CCTV-13,http://43.138.11.122/cq/yh.php?id=G_CCTV-13-CQ
CCTV-14,http://43.138.11.122/cq/yh.php?id=G_CCTV-14-CQ
CCTV-15,http://43.138.11.122/cq/yh.php?id=G_CCTV-15-CQ
CCTV-16,http://43.138.11.122/cq/yh.php?id=G_CCTV-16-CQ
CCTV-17,http://43.138.11.122/cq/yh.php?id=G_CCTV-17-CQ
CGTN,http://43.138.11.122/cq/yh.php?id=G_CCTV-NEWS
CGTN-PYCCNN,http://43.138.11.122/cq/yh.php?id=G_CGTN-PYCCNN
CGTN-ESPANOl,Lhttp://43.138.11.122/cq/yh.php?id=G_CGTN-ESPANOL
CGTN-FRANCAIS,http://43.138.11.122/cq/yh.php?id=G_CGTN-FRANCAIS
CGTN_A,http://43.138.11.122/cq/yh.php?id=G_CGTN_A
广东卫视,http://43.138.11.122/cq/yh.php?id=G_GUANGDONG-CQ
江苏卫视,http://43.138.11.122/cq/yh.php?id=G_JIANGSU-CQ
浙江卫视,http://43.138.11.122/cq/yh.php?id=G_ZHEJIANG-CQ
湖南卫视,http://43.138.11.122/cq/yh.php?id=G_HUNAN-CQ
东方卫视,http://43.138.11.122/cq/yh.php?id=G_DONGFANG-CQ
北京卫视,http://43.138.11.122/cq/yh.php?id=G_BEIJING-CQ
深圳卫视,http://43.138.11.122/cq/yh.php?id=G_SHENZHEN-CQ
辽宁卫视,http://43.138.11.122/cq/yh.php?id=G_LIAONING-CQ
安徽卫视,http://43.138.11.122/cq/yh.php?id=G_ANHUI-CQ
山东卫视,http://43.138.11.122/cq/yh.php?id=G_SHANDONG-CQ
黑龙江卫视,http://43.138.11.122/cq/yh.php?id=G_HEILONGJIANG-CQ
天津卫视,http://43.138.11.122/cq/yh.php?id=G_TIANJIN-CQ
广西卫视,http://43.138.11.122/cq/yh.php?id=G_GUANGXI-HQ
东南卫视,,http://43.138.11.122/cq/yh.php?id=G_DONGNAN-CQ
甘肃卫视,http://43.138.11.122/cq/yh.php?id=G_GANSU-HQ
贵州卫视,http://43.138.11.122/cq/yh.php?id=G_GUIZHOU-CQ
海南卫视,http://43.138.11.122/cq/yh.php?id=G_HAINAN-HQ
