央视频道,#genre#
CCTV1,http://221.218.157.61:3527/rtp/239.3.1.129:8008,0.88
CCTV1,http://111.196.75.15:8888/rtp/239.3.1.129:8008,0.88
CCTV1,http://221.221.167.14:8888/rtp/239.3.1.129:8008,0.7
CCTV1,http://111.193.236.223:4022/rtp/239.3.1.129:8008,0.63
CCTV1,http://111.192.0.32:4022/rtp/239.3.1.129:8008,0.6
CCTV2,http://221.218.157.61:3527/rtp/239.3.1.60:8084,0.88
CCTV2,http://111.196.75.15:8888/rtp/239.3.1.60:8084,0.88
CCTV2,http://221.221.167.14:8888/rtp/239.3.1.60:8084,0.72
CCTV2,http://222.129.139.91:8888/rtp/239.3.1.60:8084,0.63
CCTV2,http://111.192.0.32:4022/rtp/239.3.1.60:8084,0.59
CCTV3,http://221.218.157.61:3527/rtp/239.3.1.172:8001,0.82
CCTV3,http://111.196.75.15:8888/rtp/239.3.1.172:8001,0.77
CCTV3,http://221.221.167.14:8888/rtp/239.3.1.172:8001,0.69
CCTV3,http://111.193.236.223:4022/rtp/239.3.1.172:8001,0.62
CCTV3,http://111.192.0.32:4022/rtp/239.3.1.172:8001,0.5
CCTV3,http://123.112.19.67:8012/rtp/239.3.1.172:8001,0.47
CCTV4,http://221.218.157.61:3527/rtp/239.3.1.105:8092,0.88
CCTV4,http://221.221.167.14:8888/rtp/239.3.1.105:8092,0.7
CCTV4,http://111.196.75.15:8888/rtp/239.3.1.105:8092,0.64
CCTV4,http://111.193.236.223:4022/rtp/239.3.1.105:8092,0.61
CCTV4,http://111.192.0.32:4022/rtp/239.3.1.105:8092,0.61
CCTV4,http://123.112.19.67:8012/rtp/239.3.1.105:8092,0.57
CCTV4欧洲,http://221.218.157.61:3527/rtp/239.3.1.213:4220,0.88
CCTV4欧洲,http://111.196.75.15:8888/rtp/239.3.1.213:4220,0.75
CCTV4欧洲,http://221.221.167.14:8888/rtp/239.3.1.213:4220,0.74
CCTV4欧洲,http://111.192.0.32:4022/rtp/239.3.1.213:4220,0.5
CCTV4欧洲,http://222.129.139.91:8888/rtp/239.3.1.213:4220,0.35
CCTV4欧洲,http://123.112.19.67:8012/rtp/239.3.1.213:4220,0.33
CCTV4美洲,http://221.218.157.61:3527/rtp/239.3.1.214:4220,0.87
