中央频道,#genre#
CCTV1,http://114.240.44.242:8888/udp/239.3.1.129:8008,0.99
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008,0.83
CCTV1,http://1.203.111.193:17777/udp/225.1.8.1:8008,0.57
CCTV2,http://114.240.44.242:8888/udp/239.3.1.60:8084,0.99
CCTV2,http://221.222.162.206:8888/udp/239.3.1.60:8084,0.83
CCTV2,http://1.203.111.193:17777/udp/225.1.8.2:8084,0.57
CCTV3,http://114.240.44.242:8888/udp/239.3.1.172:8001,0.99
CCTV3,http://221.222.162.206:8888/udp/239.3.1.172:8001,0.83
CCTV3,http://1.203.111.193:17777/udp/225.1.8.88:8000,0.57
CCTV4,http://114.240.44.242:8888/udp/239.3.1.105:8092,0.99
CCTV4,http://221.222.162.206:8888/udp/239.3.1.105:8092,0.83
CCTV4,http://1.203.111.193:17777/udp/225.1.8.4:8092,0.57
CCTV4欧洲,http://114.240.44.242:8888/udp/239.3.1.213:4220,0.99
CCTV4欧洲,http://221.222.162.206:8888/udp/239.3.1.213:4220,0.83
CCTV4美洲,http://114.240.44.242:8888/udp/239.3.1.214:4220,0.99
CCTV4美洲,http://221.222.162.206:8888/udp/239.3.1.214:4220,0.83
CCTV5,http://114.240.44.242:8888/udp/239.3.1.173:8001,0.99
CCTV5,http://221.222.162.206:8888/udp/239.3.1.173:8001,0.83
CCTV5,http://1.203.111.193:17777/udp/225.1.8.89:8000,0.57
CCTV5+,http://114.240.44.242:8888/udp/239.3.1.130:8004,0.99
CCTV5+,http://221.222.162.206:8888/udp/239.3.1.130:8004,0.83
CCTV5+,http://1.203.111.193:17777/udp/225.1.8.20:8004,0.57
CCTV6,http://114.240.44.242:8888/udp/239.3.1.174:8001,0.99
CCTV6,http://221.222.162.206:8888/udp/239.3.1.174:8001,0.83
CCTV6,http://1.203.111.193:17777/udp/225.1.8.84:8000,0.57
CCTV7,http://114.240.44.242:8888/udp/239.3.1.61:8104,0.99
CCTV7,http://221.222.162.206:8888/udp/239.3.1.61:8104,0.83
CCTV7,http://1.203.111.193:17777/udp/225.1.8.7:8104,0.57
CCTV8,http://114.240.44.242:8888/udp/239.3.1.175:8001,0.99
CCTV8,http://221.222.162.206:8888/udp/239.3.1.175:8001,0.83
CCTV8,http://1.203.111.193:17777/udp/225.1.8.85:8000,0.57
CCTV9,http://114.240.44.242:8888/udp/239.3.1.62:8112,0.99
CCTV9,http://221.222.162.206:8888/udp/239.3.1.62:8112,0.83
CCTV9,http://1.203.111.193:17777/udp/225.1.8.9:8112,0.57
CCTV10,http://114.240.44.242:8888/udp/239.3.1.63:8116,0.99
CCTV10,http://221.222.162.206:8888/udp/239.3.1.63:8116,0.83
CCTV10,http://1.203.111.193:17777/udp/225.1.8.10:8116,0.57
CCTV11,http://114.240.44.242:8888/udp/239.3.1.152:8120,0.99
CCTV11,http://221.222.162.206:8888/udp/239.3.1.152:8120,0.83
CCTV11,http://1.203.111.193:17777/udp/225.1.8.73:8120,0.57
CCTV12,http://114.240.44.242:8888/udp/239.3.1.64:8124,0.99
CCTV12,http://221.222.162.206:8888/udp/239.3.1.64:8124,0.83
CCTV12,http://1.203.111.193:17777/udp/225.1.8.12:8124,0.57
CCTV13,http://114.240.44.242:8888/udp/239.3.1.124:8128,0.99
CCTV13,http://221.222.162.206:8888/udp/239.3.1.124:8128,0.83
CCTV13,http://1.203.111.193:17777/udp/225.1.8.168:8130,0.57
CCTV14,http://114.240.44.242:8888/udp/239.3.1.65:8132,0.99
CCTV14,http://221.222.162.206:8888/udp/239.3.1.65:8132,0.83
CCTV14,http://1.203.111.193:17777/udp/225.1.8.14:8132,0.57
CCTV15,http://114.240.44.242:8888/udp/239.3.1.153:8136,0.99
CCTV15,http://221.222.162.206:8888/udp/239.3.1.153:8136,0.83
CCTV15,http://1.203.111.193:17777/udp/225.1.8.74:8136,0.57
CCTV16,http://114.240.44.242:8888/udp/239.3.1.183:8001,0.99
CCTV16,http://114.240.44.242:8888/udp/239.3.1.184:8001,0.99
CCTV16,http://221.222.162.206:8888/udp/239.3.1.183:8001,0.83
CCTV16,http://221.222.162.206:8888/udp/239.3.1.184:8001,0.83
CCTV17,http://114.240.44.242:8888/udp/239.3.1.151:8144,0.99
CCTV17,http://221.222.162.206:8888/udp/239.3.1.151:8144,0.83
CCTV17,http://1.203.111.193:17777/udp/225.1.8.17:8144,0.57

卫星频道,#genre#
三沙卫视,http://114.240.44.242:8888/udp/239.3.1.155:4120,0.99
三沙卫视,http://221.222.162.206:8888/udp/239.3.1.155:4120,0.83
三沙卫视,http://1.203.111.193:17777/udp/225.1.8.78:4120,0.57
东南卫视,http://114.240.44.242:8888/udp/239.3.1.156:8148,0.99
东南卫视,http://221.222.162.206:8888/udp/239.3.1.156:8148,0.83
东南卫视,http://1.203.111.193:17777/udp/225.1.8.149:8112,0.57
东方卫视,http://114.240.44.242:8888/udp/239.3.1.136:8032,0.99
东方卫视,http://221.222.162.206:8888/udp/239.3.1.136:8032,0.83
东方卫视,http://1.203.111.193:17777/udp/225.1.8.147:8192,0.57
云南卫视,http://114.240.44.242:8888/udp/239.3.1.26:8108,0.99
云南卫视,http://221.222.162.206:8888/udp/239.3.1.26:8108,0.83
云南卫视,http://1.203.111.193:17777/udp/225.1.8.139:8108,0.57
兵团卫视,http://114.240.44.242:8888/udp/239.3.1.144:4120,0.99
兵团卫视,http://114.240.44.242:8888/udp/239.3.1.48:8160,0.99
兵团卫视,http://221.222.162.206:8888/udp/239.3.1.144:4120,0.83
兵团卫视,http://221.222.162.206:8888/udp/239.3.1.48:8160,0.83
兵团卫视,http://1.203.111.193:17777/udp/225.1.8.161:8160,0.57
兵团卫视,http://1.203.111.193:17777/udp/225.1.8.167:4120,0.57
北京卫视,http://114.240.44.242:8888/udp/239.3.1.241:8000,0.99
北京卫视,http://221.222.162.206:8888/udp/239.3.1.241:8000,0.83
北京卫视,http://1.203.111.193:17777/udp/225.1.8.121:8002,0.57
北京卫视,http://1.203.111.193:17777/udp/225.1.8.21:8002,0.57
南方卫视,http://1.203.111.193:17777/udp/225.1.8.225:5008,0.57
厦门卫视,http://114.240.44.242:8888/udp/239.3.1.143:4120,0.99
厦门卫视,http://221.222.162.206:8888/udp/239.3.1.143:4120,0.83
厦门卫视,http://1.203.111.193:17777/udp/225.1.8.166:4120,0.57
吉林卫视,http://114.240.44.242:8888/udp/239.3.1.240:8172,0.99
吉林卫视,http://221.222.162.206:8888/udp/239.3.1.240:8172,0.83
吉林卫视,http://1.203.111.193:17777/udp/225.1.8.153:8200,0.57
四川卫视,http://114.240.44.242:8888/udp/239.3.1.29:8288,0.99
四川卫视,http://221.222.162.206:8888/udp/239.3.1.29:8288,0.83
四川卫视,http://1.203.111.193:17777/udp/225.1.8.142:8288,0.57
天津卫视,http://114.240.44.242:8888/udp/239.3.1.141:1234,0.99
天津卫视,http://221.222.162.206:8888/udp/239.3.1.141:1234,0.83
天津卫视,http://1.203.111.193:17777/udp/225.1.8.136:8144,0.57
宁夏卫视,http://114.240.44.242:8888/udp/239.3.1.46:8124,0.99
宁夏卫视,http://221.222.162.206:8888/udp/239.3.1.46:8124,0.83
宁夏卫视,http://1.203.111.193:17777/udp/225.1.8.159:8124,0.57
安徽卫视,http://114.240.44.242:8888/udp/239.3.1.211:8064,0.99
安徽卫视,http://221.222.162.206:8888/udp/239.3.1.211:8064,0.83
安徽卫视,http://1.203.111.193:17777/udp/225.1.8.135:8272,0.57
山东卫视,http://114.240.44.242:8888/udp/239.3.1.209:8052,0.99
山东卫视,http://221.222.162.206:8888/udp/239.3.1.209:8052,0.83
山东卫视,http://1.203.111.193:17777/udp/225.1.8.138:8148,0.57
山西卫视,http://114.240.44.242:8888/udp/239.3.1.42:8172,0.99
山西卫视,http://221.222.162.206:8888/udp/239.3.1.42:8172,0.83
山西卫视,http://1.203.111.193:17777/udp/225.1.8.155:8172,0.57
广东卫视,http://114.240.44.242:8888/udp/239.3.1.142:8048,0.99
广东卫视,http://221.222.162.206:8888/udp/239.3.1.142:8048,0.83
广东卫视,http://1.203.111.193:17777/udp/225.1.8.151:8132,0.57
广西卫视,http://114.240.44.242:8888/udp/239.3.1.39:8300,0.99
广西卫视,http://221.222.162.206:8888/udp/239.3.1.39:8300,0.83
广西卫视,http://1.203.111.193:17777/udp/225.1.8.152:8300,0.57
江苏卫视,http://114.240.44.242:8888/udp/239.3.1.135:8028,0.99
江苏卫视,http://221.222.162.206:8888/udp/239.3.1.135:8028,0.83
江苏卫视,http://1.203.111.193:17777/udp/225.1.8.134:8276,0.57
江西卫视,http://114.240.44.242:8888/udp/239.3.1.123:8164,0.99
江西卫视,http://221.222.162.206:8888/udp/239.3.1.123:8164,0.83
江西卫视,http://1.203.111.193:17777/udp/225.1.1.9:8164,0.57
河北卫视,http://114.240.44.242:8888/udp/239.3.1.148:8072,0.99
河北卫视,http://221.222.162.206:8888/udp/239.3.1.148:8072,0.83
河北卫视,http://1.203.111.193:17777/udp/225.1.8.150:8292,0.57
河南卫视,http://114.240.44.242:8888/udp/239.3.1.27:8128,0.99
河南卫视,http://221.222.162.206:8888/udp/239.3.1.27:8128,0.83
河南卫视,http://1.203.111.193:17777/udp/225.1.8.140:8128,0.57
浙江卫视,http://114.240.44.242:8888/udp/239.3.1.137:8036,0.99
浙江卫视,http://221.222.162.206:8888/udp/239.3.1.137:8036,0.83
浙江卫视,http://1.203.111.193:17777/udp/225.1.8.133:8284,0.57
海南卫视,http://114.240.44.242:8888/udp/239.3.1.45:8304,0.99
海南卫视,http://221.222.162.206:8888/udp/239.3.1.45:8304,0.83
海南卫视,http://1.203.111.193:17777/udp/225.1.8.158:8304,0.57
深圳卫视,http://114.240.44.242:8888/udp/239.3.1.134:8020,0.99
