中央频道,#genre#
CCTV1,http://114.249.215.204:9888/udp/239.3.1.129:8008,1.01
CCTV1,http://114.249.230.215:9888/udp/239.3.1.129:8008,1.01
CCTV1,http://114.252.239.133:9876/udp/239.3.1.129:8008,0.99
CCTV1,http://123.117.237.15:8680/udp/239.3.1.129:8008,0.93
CCTV1,http://111.196.129.152:20000/udp/239.3.1.129:8008,0.93
CCTV1,http://60.2.190.206:4000/udp/239.253.92.83:8012,0.84
CCTV1,http://114.252.238.87:8000/udp/239.3.1.129:8008,0.75
CCTV1,http://60.10.106.114:555/udp/239.253.92.83:8012,0.7
CCTV1,http://222.129.139.91:8888/udp/239.3.1.129:8008,0.68
CCTV1,http://221.222.162.206:8888/udp/239.3.1.129:8008,0.64
CCTV1,http://114.249.229.24:8888/udp/239.3.1.129:8008,0.62
CCTV1,http://114.252.235.176:8000/udp/239.3.1.129:8008,0.6
CCTV1,http://1.203.111.193:17777/udp/225.1.8.1:8008,0.6
CCTV1,http://115.171.216.225:4000/udp/225.1.8.1:8008,0.59
CCTV1,http://123.113.187.204:8000/udp/239.3.1.129:8008,0.54
CCTV1,http://123.113.237.160:8888/udp/239.3.1.129:8008,0.5
CCTV1,http://111.199.234.10:18888/udp/239.3.1.129:8008,0.5
CCTV1HD,http://118.251.60.185:8888/udp/239.76.253.151:9000,0.73
CCTV2,http://114.249.215.204:9888/udp/239.3.1.60:8084,1.01
CCTV2,http://114.249.230.215:9888/udp/239.3.1.60:8084,1.01
CCTV2,http://114.252.239.133:9876/udp/239.3.1.60:8084,0.99
CCTV2,http://123.117.237.15:8680/udp/239.3.1.60:8084,0.93
CCTV2,http://111.196.129.152:20000/udp/239.3.1.60:8084,0.93
CCTV2,http://60.2.190.206:4000/udp/239.253.92.190:6065,0.84
CCTV2,http://114.252.238.87:8000/udp/239.3.1.60:8084,0.75
CCTV2,http://60.10.106.114:555/udp/239.253.92.190:6065,0.7
CCTV2,http://222.129.139.91:8888/udp/239.3.1.60:8084,0.68
CCTV2,http://221.222.162.206:8888/udp/239.3.1.60:8084,0.64
CCTV2,http://114.249.229.24:8888/udp/239.3.1.60:8084,0.62
CCTV2,http://114.252.235.176:8000/udp/239.3.1.60:8084,0.6
CCTV2,http://1.203.111.193:17777/udp/225.1.8.2:8084,0.6
CCTV2,http://115.171.216.225:4000/udp/225.1.8.2:8084,0.59
CCTV2,http://123.113.187.204:8000/udp/239.3.1.60:8084,0.54
CCTV2,http://123.113.237.160:8888/udp/239.3.1.60:8084,0.5
CCTV2,http://111.199.234.10:18888/udp/239.3.1.60:8084,0.5
CCTV2HD,http://118.251.60.185:8888/udp/239.76.253.152:9000,0.73
CCTV3,http://114.249.215.204:9888/udp/239.3.1.172:8001,1.01
CCTV3,http://114.249.230.215:9888/udp/239.3.1.172:8001,1.01
CCTV3,http://114.252.239.133:9876/udp/239.3.1.172:8001,0.99
CCTV3,http://123.117.237.15:8680/udp/239.3.1.172:8001,0.93
CCTV3,http://111.196.129.152:20000/udp/239.3.1.172:8001,0.93
CCTV3,http://60.2.190.206:4000/udp/239.253.92.191:6057,0.84
CCTV3,http://114.252.238.87:8000/udp/239.3.1.172:8001,0.75
CCTV3,http://60.10.106.114:555/udp/239.253.92.191:6057,0.7
CCTV3,http://222.129.139.91:8888/udp/239.3.1.172:8001,0.68
CCTV3,http://221.222.162.206:8888/udp/239.3.1.172:8001,0.64
CCTV3,http://114.249.229.24:8888/udp/239.3.1.172:8001,0.62
CCTV3,http://114.252.235.176:8000/udp/239.3.1.172:8001,0.6
CCTV3,http://1.203.111.193:17777/udp/225.1.8.88:8000,0.6
CCTV3,http://115.171.216.225:4000/udp/225.1.8.88:8000,0.59
CCTV3,http://123.113.187.204:8000/udp/239.3.1.172:8001,0.54
CCTV3,http://123.113.237.160:8888/udp/239.3.1.172:8001,0.5
CCTV3,http://111.199.234.10:18888/udp/239.3.1.172:8001,0.5
CCTV3HD,http://118.251.60.185:8888/udp/239.76.253.153:9000,0.73
CCTV4,http://114.249.215.204:9888/udp/239.3.1.105:8092,1.01
CCTV4,http://114.249.230.215:9888/udp/239.3.1.105:8092,1.01
CCTV4,http://114.252.239.133:9876/udp/239.3.1.105:8092,0.99
CCTV4,http://123.117.237.15:8680/udp/239.3.1.105:8092,0.93
CCTV4,http://111.196.129.152:20000/udp/239.3.1.105:8092,0.93
CCTV4,http://60.2.190.206:4000/udp/239.253.92.251:6141,0.84
CCTV4,http://114.252.238.87:8000/udp/239.3.1.105:8092,0.75
CCTV4,http://60.10.106.114:555/udp/239.253.92.251:6141,0.7
CCTV4,http://222.129.139.91:8888/udp/239.3.1.105:8092,0.68
CCTV4,http://221.222.162.206:8888/udp/239.3.1.105:8092,0.64
CCTV4,http://114.249.229.24:8888/udp/239.3.1.105:8092,0.62
CCTV4,http://114.252.235.176:8000/udp/239.3.1.105:8092,0.6
CCTV4,http://1.203.111.193:17777/udp/225.1.8.4:8092,0.6
CCTV4,http://115.171.216.225:4000/udp/225.1.8.4:8092,0.59
CCTV4,http://123.113.187.204:8000/udp/239.3.1.105:8092,0.54
CCTV4,http://123.113.237.160:8888/udp/239.3.1.105:8092,0.5
CCTV4,http://111.199.234.10:18888/udp/239.3.1.105:8092,0.5
CCTV4HD,http://118.251.60.185:8888/udp/239.76.253.154:9000,0.73
CCTV4欧洲,http://114.249.215.204:9888/udp/239.3.1.213:4220,1.01
CCTV4欧洲,http://114.249.230.215:9888/udp/239.3.1.213:4220,1.01
CCTV4欧洲,http://114.252.239.133:9876/udp/239.3.1.213:4220,0.99
CCTV4欧洲,http://123.117.237.15:8680/udp/239.3.1.213:4220,0.93
CCTV4欧洲,http://111.196.129.152:20000/udp/239.3.1.213:4220,0.93
CCTV4欧洲,http://60.2.190.206:4000/udp/239.253.93.192:6370,0.84
CCTV4欧洲,http://114.252.238.87:8000/udp/239.3.1.213:4220,0.75
CCTV4欧洲,http://60.10.106.114:555/udp/239.253.93.192:6370,0.7
CCTV4欧洲,http://222.129.139.91:8888/udp/239.3.1.213:4220,0.68
